Factory,Description,Material,fx_Description,fx Material Structure,Total Thickness,Material 1,Material 2,Material 3,Material 4,Finish,Opacity,Finish for Clear Area,Barrier,Hologram,Matte Varnish,Metallized Film,Microwaveable,Recyclable,Soft Touch,Spot UV,Window,Inactive
Canada CA,Clear Glossy,PET/PET/PE,Glossy,PET/PET/PE,,PET,PET,PE,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
Canada CA,Kraft Paper,30# Natural Kraft Paper/48g MET PET / 3.5mil PE,Opaque Kraft Paper,Kraft Paper/MET PET/PE,3.98,Kraft Paper,MET PET,PE,,Kraft Paper,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
Canada CA,Opaque Glossy,PET/MET PET/PE,Opaque Glossy,PET/MET PET/PE,0.00,PET,MET PET,PE,,Glossy,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
Canada CA,Opaque Glossy with Window,PET/PET/PE,Glossy with Window,PET/PET/PE,,PET,PET,PE,,Glossy,Opaque with Window,Glossy,No,No,No,No,No,No,No,No,Yes,false
Canada CA,Opaque Matte - Matte Film,Matte OPP/MET PET/PE,Opaque Matte (Film),Matte OPP/MET PET/PE,0.00,Matte OPP,MET PET,PE,,Matte,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
Canada CA,Opaque Matte - Matte PET,52g V Matte PET / 48g Chem MET PET / 3.5 mil Clear PE,Opaque Matte (Film),Soft Touch PET/MET PET/PE,4.50,Soft Touch PET,MET PET,PE,,Matte,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
Canada CA,Opaque Matte - Recyclable,PE/EVOH-based PE,Recyclable PE Matte (Film),PE/EVOH-PE,0.00,PE,EVOH-PE,,,Matte,Clear,Matte,No,No,No,No,No,PE,No,No,No,false
Canada CA,Opaque Matte with Spot UV,PET/MET PET/PE + Matte Oil,Opaque Matte with Spot UV,PET/MET PET/PE + Spot UV + Matte Varnish,,PET,MET PET,PE,,Matte,Opaque,None,Yes,No,Yes,Yes,No,No,No,Yes,No,false
Canada CA,Opaque Matte with Window,Matte OPP/PET/PE,Matte (Film) with Window,Matte OPP/PET/PE,0.00,Matte OPP,PET,PE,,Matte,Opaque with Window,Matte,No,No,No,No,No,No,No,No,Yes,false
Canada WP,Clear Glossy,PET/PET/PE,Glossy,PET/PET/PE,,PET,PET,PE,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
Canada WP,Opaque Glossy,PET/MET PET/PE,Opaque Glossy,PET/MET PET/PE,,PET,MET PET,PE,,Glossy,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
Canada WP,Opaque Glossy with Window,PET/PET/PE,Glossy with Window,PET/PET/PE,,PET,PET,PE,,Glossy,Opaque with Window,Glossy,No,No,No,No,No,No,No,No,Yes,false
Canada WP,Opaque Matte - Matte Film,Matte PET/MET PET/PE,Opaque Matte (Film),Matte PET/MET PET/PE,,Matte PET,MET PET,PE,,Matte,Opaque,None,Yes,No,No,Yes,No,No,No,No,No,false
Canada WP,Opaque Matte with Window,Matte PET/PET/PE,Matte (Film) with Window,Matte PET/PET/PE,,Matte PET,PET,PE,,Matte,Opaque with Window,Matte,No,No,No,No,No,No,No,No,Yes,false
Canada WP,Recyclable - Opaque Glossy,1 mil PE / 3 mil EVOH-PE,Recyclable PE Glossy,PE/EVOH-PE,4.00,PE,EVOH-PE,,,Glossy,Clear,Glossy,No,No,No,No,No,PE,No,No,No,false
Canada WP,Recyclable - Opaque Matte,1 mil Matte PE / 3 mil EVOH-PE,Recyclable PE Matte (Film),Matte PE/EVOH-PE,4.00,Matte PE,EVOH-PE,,,Matte,Clear,Matte,No,No,No,No,No,PE,No,No,No,false
Canada WP,Recyclable - Opaque Matte with Spot UV,1 mil Matte PE / 3 mil EVOH-PE + Registered Matte Oil,Recyclable PE Matte with Spot UV,Matte PE/EVOH-PE + Spot UV + Matte Varnish,4.00,Matte PE,EVOH-PE,,,Matte,Clear,Glossy,No,No,Yes,No,No,PE,No,Yes,No,false
