date,product_line,width,height,length_gusset,ship_via,skus,total_quantity,price,material_front_id,material_back_id,num_colors,printing_method,zipper_type,options,customer,salesperson,project,Factory,terms_conditions,item_#,cfmd_skus
Mar 28 2024,Slide Safe CR Boxes,1.5,0.87,3.74,Sea,1,25000,0.896,3598163000020543723,3598163000020543723,5,Digital,None - None,,Sunburn,Paul Sevigny,Sunburn vape box,China Boxes,Quote is without insert and includes 2 month wareshousing in CA warehouse. Shipping to final destination from CA warehouse will be customer responsibility.,QRE-06596-02-1.50x0.87x3.74-SEA,
Mar 28 2024,Slide Safe CR Boxes,1.5,0.87,3.74,Sea,1,25000,0.932,3598163000020543723,3598163000020543723,5,Digital,None - None,,Sunburn,Paul Sevigny,Sunburn vape box,China Boxes,Quote is with insert and includes 2 month warehouseing in CA warehouse. Shipping to final destination from CA warhouse will be customer responsibility,QRE-06596-02-1.50x0.87x3.74-SEA,
Mar 28 2024,Slide Safe CR Boxes,1.5,0.87,3.74,Sea,1,35000,0.877,3598163000020543723,3598163000020543723,5,Digital,None - None,,Sunburn,Paul Sevigny,Sunburn vape box,China Boxes,Quote is without insert and includes 2 month wareshousing in CA warehouse. Shipping to final destination from CA warehouse will be customer responsibility.,QRE-06596-02-1.50x0.87x3.74-SEA,
Mar 28 2024,Slide Safe CR Boxes,1.5,0.87,3.74,Sea,1,35000,0.905,3598163000020543723,3598163000020543723,5,Digital,None - None,,Sunburn,Paul Sevigny,Sunburn vape box,China Boxes,Quote is with insert and includes 2 month warehouseing in CA warehouse. Shipping to final destination from CA warhouse will be customer responsibility,QRE-06596-02-1.50x0.87x3.74-SEA,
Mar 28 2024,Slide Safe CR Boxes,1.5,0.87,3.74,Sea,1,50000,0.867,3598163000020543723,3598163000020543723,5,Digital,None - None,,Sunburn,Paul Sevigny,Sunburn vape box,China Boxes,Quote is without insert and includes 2 month wareshousing in CA warehouse. Shipping to final destination from CA warehouse will be customer responsibility.,QRE-06596-02-1.50x0.87x3.74-SEA,
Mar 28 2024,Slide Safe CR Boxes,1.5,0.87,3.74,Sea,1,50000,0.893,3598163000020543723,3598163000020543723,5,Digital,None - None,,Sunburn,Paul Sevigny,Sunburn vape box,China Boxes,Quote is with insert and includes 2 month warehouseing in CA warehouse. Shipping to final destination from CA warhouse will be customer responsibility,QRE-06596-02-1.50x0.87x3.74-SEA,
Oct 11 2024,Slide Safe CR Boxes,1.5,1,6,Air,1,3000,1.746,3598163000037650071,3598163000037650071,5,Digital,N/A - N/A,,Crop Circle Chocolate,Ryan Holmes,Crop Circle Chocolate Bar Boxes,China Boxes 2,DDP Cust Whse,QRE-07578-01-1.50x1.00x6.00-AIR,
Oct 11 2024,Slide Safe CR Boxes,1.5,1,6,Air,1,5000,1.641,3598163000037650071,3598163000037650071,5,Digital,N/A - N/A,,Crop Circle Chocolate,Ryan Holmes,Crop Circle Chocolate Bar Boxes,China Boxes 2,DDP Cust Whse,QRE-07578-01-1.50x1.00x6.00-AIR,
Oct 11 2024,Slide Safe CR Boxes,1.5,1,6,Air,1,10000,1.521,3598163000037650071,3598163000037650071,5,Digital,N/A - N/A,,Crop Circle Chocolate,Ryan Holmes,Crop Circle Chocolate Bar Boxes,China Boxes 2,DDP Cust Whse,QRE-07578-01-1.50x1.00x6.00-AIR,
Mar 06 2025,Paper Stickers,1.5,1.5,0,Air,1,200000,0.021,3598163000043881165,3598163000043881165,1,Digital,None - None,,Capsule Pharmacy,Michael Massa,Custom Silver Stickers,China Digital,"DDP Cust Whse
2000 per roll
24 rolls per box
Tamper evident sticker labels
T=1.0 mm; Includes perforation",QRE-08442-01-1.50x1.50x0.00-AIR,
Mar 06 2025,Paper Stickers,1.5,1.5,0,Air,1,500000,0.017,3598163000043881165,3598163000043881165,1,Digital,None - None,,Capsule Pharmacy,Michael Massa,Custom Silver Stickers,China Digital,"DDP Cust Whse
2000 per roll
24 rolls per box
Tamper evident sticker labels
T=1.0 mm; Includes perforatiom",QRE-08442-01-1.50x1.50x0.00-AIR,
Nov 20 2024,Non CR Boxes,1.63,1,1.63,Air,1,2000,0.367,3598163000037650099,3598163000037650099,5,Digital,N/A - N/A,,Central Processors of NY,Paul Sevigny,CPNY concentrate boxes,China Boxes 2,DDP Cust Whse,QRE-07852-01-1.63x1.00x1.63-AIR,
Nov 20 2024,Non CR Boxes,1.63,1,1.63,Air,1,5000,0.211,3598163000037650099,3598163000037650099,5,Digital,N/A - N/A,,Central Processors of NY,Paul Sevigny,CPNY concentrate boxes,China Boxes 2,DDP Cust Whse,QRE-07852-01-1.63x1.00x1.63-AIR,
Nov 20 2024,Non CR Boxes,1.63,1,1.63,Air,1,10000,0.166,3598163000037650099,3598163000037650099,5,Digital,N/A - N/A,,Central Processors of NY,Paul Sevigny,CPNY concentrate boxes,China Boxes 2,DDP Cust Whse,QRE-07852-01-1.63x1.00x1.63-AIR,
Sep 06 2024,Secure Sack CR Bags,1.79,3.83,0,Air,1,15000,0.124,3598163000008154719,3598163000008154719,5,Digital,None - None,"Round Corners,Top Sealed Bottom Open,Diecut Shape,Single Use CR Tear Slit",Triple Phoenix Wellness,Ryan Holmes,Triple Phoenix Honey and PB Packets,China Digital,DDP Cust Whse,QRE-07435-01-1.79x3.83x0.00-AIR,SU-179383DO-UNI-AIR-091824121237 - 15000 -  
Mar 14 2024,Secure Sack CR Bags,1.79,3.83,0,Air,2,20000,0.111,3598163000008154719,3598163000008154719,5,Digital,None - None,"Round Corners,Top Sealed Bottom Open,Diecut Shape,Single Use CR Tear Slit",Triple Phoenix Wellness,Ryan Holmes,Triple Phoenix Honey and PB Packets,China Digital,DDP Cust Whse,QRE-06556-1-1.79x3.83x0.00-AIR,
Mar 14 2024,Secure Sack CR Bags,1.79,3.83,0,Air,2,26000,0.097,3598163000008154719,3598163000008154719,5,Digital,None - None,"Round Corners,Top Sealed Bottom Open,Diecut Shape,Single Use CR Tear Slit",Triple Phoenix Wellness,Ryan Holmes,Triple Phoenix Honey and PB Packets,China Digital,DDP Cust Whse,QRE-06556-1-1.79x3.83x0.00-AIR,
Jul 09 2024,Slide Safe CR Boxes,1.8,0.85,4.25,Sea,6,12000,1.25,3598163000020543723,3598163000026582084,4,Digital,None - None,,"Baked Buds Company, LLC",Nick O’Loughlin,Vape Box,China Boxes,"DDP Cust Whse

Cost with Paper Insert",QRE-07116-01-1.80x0.85x4.25-SEA,
Jul 09 2024,Slide Safe CR Boxes,1.8,0.85,4.25,Sea,6,24000,1.201,3598163000020543723,3598163000026582084,4,Digital,None - None,,"Baked Buds Company, LLC",Nick O’Loughlin,Vape Box,China Boxes,"DDP Cust Whse

Cost with Paper Insert",QRE-07116-01-1.80x0.85x4.25-SEA,
